평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000002,2050147001,경상북도교육청 구미도서관,gyeongbuk,구미시,251391,16,82920,231963,2786268
2022,LIBTYPE000002,2050147012,경상북도교육청 금호도서관,gyeongbuk,영천시,74569,3,1261,42507,953011
2022,LIBTYPE000002,2050147025,경상북도교육청 봉화도서관,gyeongbuk,봉화군,86465,3,9702,29996,417702
2022,LIBTYPE000002,2050147015,경상북도교육청 삼국유사군위도서관,gyeongbuk,군위군,83606,6,983,26526,897366
2022,LIBTYPE000002,2050147003,경상북도교육청 상주도서관,gyeongbuk,상주시,208781,14,5104,140380,2244938
2022,LIBTYPE000002,2050147013,경상북도교육청 상주도서관화령분관,gyeongbuk,상주시,111474,3,534,12396,441546
2022,LIBTYPE000002,2050147023,경상북도교육청 성주도서관,gyeongbuk,성주군,84448,6,1247,41223,929195
2022,LIBTYPE000002,2050147002,경상북도교육청 안동도서관,gyeongbuk,안동시,213412,14,4925,161868,1932730
2022,LIBTYPE000002,2050147007,경상북도교육청 안동도서관용상분관,gyeongbuk,안동시,89119,4,2111,73063,652480
2022,LIBTYPE000002,2050147010,경상북도교육청 안동도서관풍산분관,gyeongbuk,안동시,92725,3,813,36164,633331
2022,LIBTYPE000002,2050147019,경상북도교육청 영덕도서관,gyeongbuk,영덕군,79710,4,1168,35826,744020
2022,LIBTYPE000002,2050147018,경상북도교육청 영양도서관,gyeongbuk,영양군,93824,3,806,23159,709721
2022,LIBTYPE000002,2050147004,경상북도교육청 영일도서관,gyeongbuk,포항시,94879,4,2642,96448,795077
2022,LIBTYPE000002,2050147005,경상북도교육청 영주선비도서관,gyeongbuk,영주시,160542,13,6251,180531,2067044
2022,LIBTYPE000002,2050147011,경상북도교육청 영주선비도서관풍기분관,gyeongbuk,영주시,85058,3,938,51998,527843
2022,LIBTYPE000002,2050147024,경상북도교육청 예천도서관,gyeongbuk,예천군,55074,4,8718,23765,786863
2022,LIBTYPE000002,2050147008,경상북도교육청 외동도서관,gyeongbuk,경주시,93574,4,1276,37650,642937
2022,LIBTYPE000002,2050147027,경상북도교육청 울릉도서관,gyeongbuk,울릉군,82209,2,360,9112,656014
2022,LIBTYPE000002,2050147026,경상북도교육청 울진도서관,gyeongbuk,울진군,92779,4,1397,46861,680891
2022,LIBTYPE000002,2050147016,경상북도교육청 의성도서관,gyeongbuk,의성군,93606,6,1165,32445,842918
2022,LIBTYPE000002,2050147006,경상북도교육청 점촌도서관,gyeongbuk,문경시,65964,5,1198,36674,779472
2022,LIBTYPE000002,2050147014,경상북도교육청 점촌도서관가은분관,gyeongbuk,문경시,43162,3,432,9494,381570
2022,LIBTYPE000002,2050147020,경상북도교육청 청도도서관,gyeongbuk,청도군,93549,7,1969,51250,1101355
2022,LIBTYPE000002,2050147017,경상북도교육청 청송도서관,gyeongbuk,청송군,79867,3,4058,14356,646958
2022,LIBTYPE000002,2050147022,경상북도교육청 칠곡도서관,gyeongbuk,칠곡군,60168,5,1426,45658,800417
2022,LIBTYPE000002,2050147029,경상북도교육청문화원,gyeongbuk,포항시,53657,2,1883,58846,279453
2022,LIBTYPE000002,2050147028,경상북도교육청정보센터,gyeongbuk,경산시,180943,13,7326,225326,5993187
2022,LIBTYPE000002,2060147004,경주시립도서관,gyeongbuk,경주시,220984,12,11037,291887,2755827
2022,LIBTYPE000002,2060147005,경주중앙도서관,gyeongbuk,경주시,36180,2,6010,18054,237508
2022,LIBTYPE000002,2060144001,계룡도서관,chungnam,계룡시,76651,2,16756,57820,549451
2022,LIBTYPE000002,2060124009,계림꿈나무도서관,gwangju,동구,25483,2.5,1236,29998,347578
2022,LIBTYPE000002,2050142022,고성교육도서관,gangwon,고성군,46101,3,4723,14131,485785
2022,LIBTYPE000002,2060142021,고성군립도서관,gangwon,고성군,66454,1,555,13228,249369
2022,LIBTYPE000002,2060148018,고성동부도서관,gyeongnam,고성군,39044,0,227,3732,66581
2022,LIBTYPE000002,2060141264,고양시립 별꿈도서관,gyeonggi,고양시,14310,2,5605,96392,554605
2022,LIBTYPE000002,2060141163,고양시립 신원도서관,gyeonggi,고양시,79783,2,22590,213086,1140042
2022,LIBTYPE000002,2060141196,고양시립가좌도서관,gyeonggi,고양시,78108,2,5233,136391,1385340
2022,LIBTYPE000002,2060141086,고양시립대화도서관,gyeonggi,고양시,144133,6,15270,285995,2316286
2022,LIBTYPE000002,2060141135,고양시립덕이도서관,gyeonggi,고양시,87573,2,17318,145585,1855362
2022,LIBTYPE000002,2060141060,고양시립마두도서관,gyeonggi,고양시,158600,4,20819,208196,1380167
2022,LIBTYPE000002,2060141061,고양시립백석도서관,gyeonggi,고양시,135873,2.5,24829,209001,1179119
2022,LIBTYPE000002,2060141176,고양시립삼송도서관,gyeonggi,고양시,80345,2.5,23719,302193,1272679
2022,LIBTYPE000002,2060141136,고양시립식사도서관,gyeonggi,고양시,88791,3,13835,109005,2268593
2022,LIBTYPE000002,2060141059,고양시립아람누리도서관,gyeonggi,고양시,187966,5,28686,245168,1589737
2022,LIBTYPE000002,2060141064,고양시립원당도서관,gyeonggi,고양시,74723,2,10279,51503,688311
2022,LIBTYPE000002,2060141250,고양시립일산도서관,gyeonggi,고양시,41023,3,17730,171919,973351
2022,LIBTYPE000017,2060841010,고양시립주엽어린이도서관,gyeonggi,고양시,121364,3,15892,302212,1149146
2022,LIBTYPE000002,2060141094,고양시립풍동도서관,gyeonggi,고양시,88651,3,19278,163958,1069083
2022,LIBTYPE000002,2060141087,고양시립한뫼도서관,gyeonggi,고양시,132236,2,21840,172292,1965701
2022,LIBTYPE000002,2060141063,고양시립행신도서관,gyeonggi,고양시,141656,4,22440,169514,1163686
2022,LIBTYPE000018,2060841012,고양시립행신어린이도서관,gyeonggi,고양시,101468,2,5782,176876,826747
2022,LIBTYPE000002,2060141062,고양시립화정도서관,gyeonggi,고양시,152409,14,27857,225458,4526996
2022,LIBTYPE000019,2060841011,고양시립화정어린이도서관,gyeonggi,고양시,101109,2,14780,238258,893656
2022,LIBTYPE000002,2060132010,고운남측도서관,sejong,세종시,33003,1,7092,108571,137985
2022,LIBTYPE000002,2060132008,고운동도서관,sejong,세종시,45517,1,6741,84777,144112
2022,LIBTYPE000002,2060145023,고창군립도서관,jeonbuk,고창군,62766,4,757,8339,422199
2022,LIBTYPE000002,2060145026,고창군립성호도서관,jeonbuk,고창군,50524,1,4923,15896,207840
2022,LIBTYPE000002,2060121023,고촌어울림도서관,busan,기장군,20330,1,962,28426,376299
2022,LIBTYPE000002,2060148002,고향의봄도서관,gyeongnam,창원시,169215,2,8014,89668,1485953
2022,LIBTYPE000002,2060146014,고흥군립도서관,jeonnam,고흥군,83725,0,9530,9388,148226
2022,LIBTYPE000002,2060146015,고흥군립북부도서관,jeonnam,고흥군,52316,0,1081,3192,156000
2022,LIBTYPE000002,2060146034,고흥군립중앙도서관,jeonnam,고흥군,52982,5,2665,10500,430000
